Nama Kabupaten / Kota,Proyeksi Jumlah UMKM,Tahun
KABUPATEN KUNINGAN,128103,2021
KABUPATEN CIREBON,341037,2021
KABUPATEN MAJALENGKA,211749,2021
KABUPATEN SUMEDANG,156884,2021
KABUPATEN INDRAMAYU,257929,2021
KABUPATEN SUBANG,229215,2021
KABUPATEN PURWAKARTA,117790,2021
KABUPATEN KARAWANG,315388,2021
KABUPATEN BEKASI,311927,2021
KABUPATEN BANDUNG BARAT,211001,2021
KABUPATEN PANGANDARAN,81401,2021
KOTA BOGOR,116656,2021
KOTA SUKABUMI,53979,2021
KOTA BANDUNG,464346,2021
KOTA CIREBON,54306,2021
KOTA BEKASI,274143,2021
KOTA DEPOK,219238,2021
KOTA CIMAHI,76833,2021
KOTA TASIKMALAYA,123010,2021
KOTA BANJAR,34962,2021
KABUPATEN BOGOR,537676,2022
KABUPATEN SUKABUMI,385646,2022
KABUPATEN CIANJUR,359563,2022
KABUPATEN BANDUNG,506465,2022
KABUPATEN GARUT,371510,2022
KABUPATEN TASIKMALAYA,269618,2022
KABUPATEN CIAMIS,200304,2022
KABUPATEN KUNINGAN,136029,2022
KABUPATEN CIREBON,362138,2022
KABUPATEN MAJALENGKA,224850,2022
KABUPATEN SUMEDANG,166591,2022
KABUPATEN INDRAMAYU,273887,2022
KABUPATEN SUBANG,243397,2022
KABUPATEN PURWAKARTA,125078,2022
KABUPATEN KARAWANG,334902,2022
KABUPATEN BEKASI,331226,2022
KABUPATEN BANDUNG BARAT,224056,2022
KABUPATEN PANGANDARAN,86437,2022
KOTA BOGOR,123873,2022
KOTA SUKABUMI,57319,2022
KOTA BANDUNG,493076,2022
KOTA CIREBON,57666,2022
KOTA BEKASI,291105,2022
KOTA DEPOK,232803,2022
KOTA CIMAHI,81587,2022
KOTA TASIKMALAYA,130621,2022
KOTA BANJAR,37125,2022
KABUPATEN BOGOR,570943,2023
KABUPATEN SUKABUMI,409507,2023
KABUPATEN CIANJUR,381810,2023
KABUPATEN BANDUNG,537801,2023
KABUPATEN GARUT,394496,2023
KABUPATEN TASIKMALAYA,286300,2023
KABUPATEN CIAMIS,212697,2023
KABUPATEN KUNINGAN,144445,2023
KABUPATEN CIREBON,384544,2023
KABUPATEN MAJALENGKA,238762,2023
KABUPATEN SUMEDANG,176898,2023
KABUPATEN INDRAMAYU,290833,2023
KABUPATEN SUBANG,258457,2023
KABUPATEN PURWAKARTA,132816,2023
KABUPATEN KARAWANG,355623,2023
KABUPATEN BEKASI,351720,2023
KABUPATEN BANDUNG BARAT,237919,2023
KABUPATEN PANGANDARAN,91785,2023
KOTA BOGOR,131538,2023
KOTA SUKABUMI,60865,2023
KOTA BANDUNG,523584,2023
KOTA CIREBON,61234,2023
KOTA BEKASI,309116,2023
KOTA DEPOK,247207,2023
KOTA CIMAHI,86635,2023
KOTA TASIKMALAYA,138703,2023
KOTA BANJAR,39422,2023
